2021-06-27 20:06:445 INFO  BuildYourOwnComputerPage :64 - select the processor from drop down [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //select[@id='product_attribute_1']]
2021-06-27 20:06:729 INFO  BuildYourOwnComputerPage :70 - select the Ram from drop down [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //select[@id='product_attribute_2']]
2021-06-27 20:06:846 INFO  BuildYourOwnComputerPage :76 - click On Hdd from radio button [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //dd[@id='product_attribute_input_3']//label[text()='400 GB [+$100.00]']]
2021-06-27 20:06:517 INFO  BuildYourOwnComputerPage :83 - Click on Os Radio from list[[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //input[@id='product_attribute_4_9']]
2021-06-27 20:06:236 INFO  BuildYourOwnComputerPage :90 - Click on MicrosoftOffice from checkbox [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //input[@id='product_attribute_5_10']]
2021-06-27 20:06:362 INFO  BuildYourOwnComputerPage :96 - Click on Total Commander [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //input[@id='product_attribute_5_12' and @ name='product_attribute_5']]
2021-06-27 20:06:397 INFO  BuildYourOwnComputerPage :100 - Verify  the total Price $1475.00 [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //span[@id='price-value-1']]
2021-06-27 21:06:199 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:111 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> link text: Computers]
2021-06-27 21:06:789 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> link text: Desktops]
2021-06-27 21:06:169 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> xpath: //select[@id='products-orderby']]
2021-06-27 21:06:220 INFO  ComputerPage :41 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (5293b30877720f318b444eb5c5fe4181)] -> xpath: //h2[@class='product-title']]]
2021-06-27 21:06:506 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:483 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d5df37b74fde263a52224af7fc11d02c)] -> link text: Computers]
2021-06-27 21:06:663 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (d5df37b74fde263a52224af7fc11d02c)] -> link text: Desktops]
2021-06-27 21:06:498 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:398 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> link text: Computers]
2021-06-27 21:06:318 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> link text: Desktops]
